algorithm,N,sample,runtime_s,frechet_dist,maxrss_before_mb,maxrss_after_mb,minor_faults,major_faults,block_input_ops,block_output_ops,voluntary_ctx_switches,involuntary_ctx_switches,user_time_s,sys_time_s,blocked_time_s,status,repeat
BBMSDppStepwise,1400,2,0.64215,0,6.51172,421.176,107315,0,0,0,0,1,0.482732,0.159408,1.0267e-05,ok,1
DijkstraPrims,1400,2,0.000456736,0,6.51172,6.51172,69,0,0,0,0,0,0.000464,0,-7.264e-06,ok,1
BBMSCore,1400,2,1.04749,0,6.51172,48.4922,11500,0,0,0,0,7,1.03722,0.010024,0.000243433,ok,2
BBMSInter,1400,2,0.276566,0,6.51172,108.242,26812,0,0,0,0,3,0.257072,0.019447,4.7353e-05,ok,2
BBMSDppInstant,1400,2,0.605233,0,6.51172,436.922,111340,0,0,0,0,1,0.485095,0.120129,9.401e-06,ok,2
BBMSDppStepwise,1400,2,0.64031,0,6.51172,421.164,107315,0,0,0,0,3,0.511136,0.129145,2.8777e-05,ok,2
DijkstraPrims,1400,2,0.000469324,0,6.51172,6.51172,69,0,0,0,0,0,0.000477,0,-7.676e-06,ok,2
BBMSCore,1400,3,1.06856,0,6.51562,48.4922,11500,0,0,0,0,4,1.04845,0.020099,4.311e-06,ok,0
BBMSInter,1400,3,0.298618,0,6.51562,108.234,26812,0,0,0,0,1,0.278905,0.019704,9.164e-06,ok,0
BBMSDppInstant,1400,3,0.608208,0,6.51562,437.68,111551,0,0,0,0,4,0.487189,0.120983,3.5859e-05,ok,0
BBMSDppStepwise,1400,3,0.638517,0,6.51562,421.961,107530,0,0,0,0,3,0.48956,0.148924,3.2924e-05,ok,0
DijkstraPrims,1400,3,0.000460578,0,6.51562,6.51562,69,0,0,0,0,0,0.000469,0,-8.422e-06,ok,0
BBMSCore,1400,3,1.06827,0,6.51562,48.4961,11500,0,0,0,0,5,1.05828,0.009953,3.9179e-05,ok,1
BBMSInter,1400,3,0.303082,0,6.51562,108.25,26812,0,0,0,0,3,0.263072,0.039979,3.0625e-05,ok,1
BBMSDppInstant,1400,3,0.611042,0,6.51562,437.684,111551,0,0,0,0,1,0.448995,0.16205,-3.456e-06,ok,1
BBMSDppStepwise,1400,3,0.641118,0,6.51953,421.953,107530,0,0,0,0,4,0.531424,0.109653,4.0765e-05,ok,1
DijkstraPrims,1400,3,0.000453288,0,6.51953,6.51953,69,0,0,0,0,0,0.000461,0,-7.712e-06,ok,1
BBMSCore,1400,3,1.07157,0,6.51953,48.5,11500,0,0,0,0,5,1.06154,0.009983,5.2941e-05,ok,2
BBMSInter,1400,3,0.302323,0,6.51953,108.234,26812,0,0,0,0,3,0.27236,0.02991,5.2897e-05,ok,2
