algorithm,pair_index,m,n,cells,runtime_s,frechet_dist,maxrss_before_mb,maxrss_after_mb,minor_faults,major_faults,block_input_ops,block_output_ops,voluntary_ctx_switches,involuntary_ctx_switches,user_time_s,sys_time_s,blocked_time_s,status,repeat
BBMSCore,10,65,59,3835,0.000240464,30.06,41.0625,41.0625,25,0,0,0,0,0,0.000245,0,-4.536e-06,ok,2
BBMSInter,10,65,59,3835,0.000240808,30.06,41.0625,41.0625,55,0,0,0,0,0,0.000246,0,-5.192e-06,ok,2
BBMSDppInstant,10,65,59,3835,0.000754013,30.06,41.0625,41.0625,219,0,0,0,0,0,0.000759,0,-4.987e-06,ok,2
BBMSDppStepwise,10,65,59,3835,0.000840015,30.06,41.0625,41.0625,212,0,0,0,0,0,0.000845,0,-4.985e-06,ok,2
DijkstraPrims,10,65,59,3835,0.000122871,30.06,41.0625,41.0625,14,0,0,0,0,0,0.000128,0,-5.129e-06,ok,2
BBMSCore,11,65,59,3835,0.000264022,30,41.0664,41.0664,25,0,0,0,0,0,0.00027,0,-5.978e-06,ok,0
BBMSInter,11,65,59,3835,0.000369849,30,41.0664,41.0664,55,0,0,0,0,1,0.000365,0,4.849e-06,ok,0
BBMSDppInstant,11,65,59,3835,0.0007662,30,41.0664,41.0664,219,0,0,0,0,0,0.000771,0,-4.8e-06,ok,0
BBMSDppStepwise,11,65,59,3835,0.000843094,30,41.0664,41.0664,212,0,0,0,0,0,0.000848,0,-4.906e-06,ok,0
DijkstraPrims,11,65,59,3835,9.5925e-05,30,41.0664,41.0664,12,0,0,0,0,0,0.000101,0,-5.075e-06,ok,0
BBMSCore,11,65,59,3835,0.000259231,30,41.0664,41.0664,25,0,0,0,0,0,0.000264,0,-4.769e-06,ok,1
BBMSInter,11,65,59,3835,0.000269381,30,41.0664,41.0664,55,0,0,0,0,0,0.000275,0,-5.619e-06,ok,1
BBMSDppInstant,11,65,59,3835,0.000773088,30,41.0703,41.0703,219,0,0,0,0,0,0.000778,0,-4.912e-06,ok,1
BBMSDppStepwise,11,65,59,3835,0.000884886,30,41.0703,41.0703,212,0,0,0,0,0,0.00089,0,-5.114e-06,ok,1
DijkstraPrims,11,65,59,3835,9.7249e-05,30,41.0703,41.0703,12,0,0,0,0,0,0.000102,0,-4.751e-06,ok,1
BBMSCore,11,65,59,3835,0.000253613,30,41.0703,41.0703,25,0,0,0,0,0,0.000259,0,-5.387e-06,ok,2
BBMSInter,11,65,59,3835,0.000264368,30,41.0703,41.0703,55,0,0,0,0,0,0.000269,0,-4.632e-06,ok,2
BBMSDppInstant,11,65,59,3835,0.000796781,30,41.0703,41.0703,219,0,0,0,0,0,0.000802,0,-5.219e-06,ok,2
BBMSDppStepwise,11,65,59,3835,0.000852363,30,41.0703,41.0703,212,0,0,0,0,0,0.000857,0,-4.637e-06,ok,2
DijkstraPrims,11,65,59,3835,9.509e-05,30,41.0703,41.0703,12,0,0,0,0,0,0.0001,0,-4.91e-06,ok,2
BBMSCore,12,65,59,3835,0.000259236,30,41.0742,41.0742,25,0,0,0,0,0,0.000265,0,-5.764e-06,ok,0
BBMSInter,12,65,59,3835,0.000274592,30,41.0742,41.0742,55,0,0,0,0,0,0.00028,0,-5.408e-06,ok,0
BBMSDppInstant,12,65,59,3835,0.000802977,30,41.0742,41.0742,220,0,0,0,0,0,0.000809,0,-6.023e-06,ok,0
BBMSDppStepwise,12,65,59,3835,0.000874896,30,41.0742,41.0742,212,0,0,0,0,0,0.00088,0,-5.104e-06,ok,0
DijkstraPrims,12,65,59,3835,7.171e-05,30,41.0742,41.0742,8,0,0,0,0,0,7.7e-05,0,-5.29e-06,ok,0
BBMSCore,12,65,59,3835,0.000261609,30,41.0742,41.0742,25,0,0,0,0,0,0,0.000266,-4.391e-06,ok,1
BBMSInter,12,65,59,3835,0.000273562,30,41.0742,41.0742,55,0,0,0,0,0,0.000279,0,-5.438e-06,ok,1
BBMSDppInstant,12,65,59,3835,0.000816813,30,41.0742,41.0742,220,0,0,0,0,0,0.000822,0,-5.187e-06,ok,1
BBMSDppStepwise,12,65,59,3835,0.000888407,30,41.0742,41.0742,212,0,0,0,0,0,0.000893,0,-4.593e-06,ok,1
DijkstraPrims,12,65,59,3835,7.1907e-05,30,41.0742,41.0742,8,0,0,0,0,0,7.7e-05,0,-5.093e-06,ok,1
BBMSCore,12,65,59,3835,0.000261148,30,41.0742,41.0742,25,0,0,0,0,0,0.000266,0,-4.852e-06,ok,2
BBMSInter,12,65,59,3835,0.000275404,30,41.0742,41.0742,55,0,0,0,0,0,0.000281,0,-5.596e-06,ok,2
BBMSDppInstant,12,65,59,3835,0.000810557,30,41.0742,41.0742,220,0,0,0,0,0,0.000816,0,-5.443e-06,ok,2
BBMSDppStepwise,12,65,59,3835,0.000885767,30,41.0742,41.0742,212,0,0,0,0,0,0.000892,0,-6.233e-06,ok,2
DijkstraPrims,12,65,59,3835,7.0867e-05,30,41.0781,41.0781,8,0,0,0,0,0,7.6e-05,0,-5.133e-06,ok,2
BBMSCore,13,65,59,3835,0.000239079,30,41.082,41.082,25,0,0,0,0,0,0.000245,0,-5.921e-06,ok,0
BBMSInter,13,65,59,3835,0.000249199,30,41.082,41.082,55,0,0,0,0,0,0.000255,0,-5.801e-06,ok,0
