algorithm,N,sample,runtime_s,frechet_dist,ok
BBMSCore,8000,0,69.0393,1000.14,True
BBMSCore,8000,1,69.3997,1000.62,True
BBMSCore,8000,2,67.0091,999.546,True
BBMSDppInstant,8000,0,19.8377,1000.14,True
BBMSDppInstant,8000,1,20.4183,1000.62,True
BBMSDppInstant,8000,2,19.96,999.546,True
DijkstraPrims,9000,0,15.7743,1000.08,True
DijkstraPrims,9000,1,15.6519,999.593,True
DijkstraPrims,9000,2,15.8054,1000.57,True
BBMSInter,9000,0,16.5456,1000.08,True
BBMSInter,9000,1,18.7402,999.593,True
BBMSInter,9000,2,10.2549,1000.57,True
BBMSDppStepwise,9000,0,26.5613,1000.08,True
BBMSDppStepwise,9000,1,26.1797,999.593,True
BBMSDppStepwise,9000,2,25.7899,1000.57,True
BBMSCore,9000,0,105.876,1000.08,True
BBMSCore,9000,1,111.577,999.593,True
BBMSCore,9000,2,78.4339,1000.57,True
BBMSDppInstant,9000,0,30.9165,1000.08,True
BBMSDppInstant,9000,1,30.5035,999.593,True
BBMSDppInstant,9000,2,27.8804,1000.57,True
DijkstraPrims,10000,0,19.6869,1000.35,True
DijkstraPrims,10000,1,19.1871,1000.66,True
DijkstraPrims,10000,2,19.562,1000.51,True
BBMSInter,10000,0,10.8728,1000.35,True
BBMSInter,10000,1,22.8789,1000.66,True
BBMSInter,10000,2,25.8506,1000.51,True
BBMSDppStepwise,10000,0,37.5342,1000.35,True
BBMSDppStepwise,10000,1,37.8836,1000.66,True
BBMSDppStepwise,10000,2,38.054,1000.51,True
BBMSCore,10000,0,105.684,1000.35,True
BBMSCore,10000,1,152.531,1000.66,True
BBMSCore,10000,2,147.458,1000.51,True
BBMSDppInstant,10000,0,40.1593,1000.35,True
BBMSDppInstant,10000,1,40.7074,1000.66,True
BBMSDppInstant,10000,2,41.2992,1000.51,True
DijkstraPrims,11000,0,23.4144,1000.57,True
DijkstraPrims,11000,1,23.5268,1000.73,True
DijkstraPrims,11000,2,23.4469,1000.12,True
BBMSInter,11000,0,28.2474,1000.57,True
BBMSInter,11000,1,25.9475,1000.73,True
BBMSInter,11000,2,20.5774,1000.12,True
BBMSDppStepwise,11000,0,47.6971,1000.57,True
BBMSDppStepwise,11000,1,47.5409,1000.73,True
BBMSDppStepwise,11000,2,47.6771,1000.12,True
BBMSCore,11000,0,161.456,1000.57,True
BBMSCore,11000,1,151.157,1000.73,True
BBMSCore,11000,2,143.773,1000.12,True
BBMSDppInstant,11000,0,54.9584,1000.57,True
BBMSDppInstant,11000,1,56.6312,1000.73,True
BBMSDppInstant,11000,2,56.4859,1000.12,True
DijkstraPrims,12000,0,31.2535,999.248,True
DijkstraPrims,12000,1,30.9535,999.981,True
DijkstraPrims,12000,2,31.4143,1000.59,True
