algorithm,N,sample,frechet_dist,nca_regular_hops,nca_shortcut_hops,total_nca_steps,shortcuts_written,dead_paths_pruned,shortcuts_extended,dead_path_walk_steps,heap_pushes,heap_pops,cells_processed,pct_cells_explored,status
BBMSDppStepwise,500,3,1001.13,313972,1251182,1565154,498813,100536,282135,229922,0,0,250000,100,ok
DijkstraPrims,500,3,1001.13,0,0,0,0,0,0,0,250000,249792,249792,99.9168,ok
BBMSCore,500,4,991.643,21179132,0,21179132,0,0,0,0,0,0,250000,100,ok
BBMSInter,500,4,991.643,313436,3245445,3558881,498933,0,0,0,0,0,250000,100,ok
BBMSDppInstant,500,4,991.643,313436,1251601,1565037,498933,101333,332965,101333,0,0,250000,100,ok
BBMSDppStepwise,500,4,991.643,313436,1251601,1565037,498933,101333,281568,230213,0,0,250000,100,ok
DijkstraPrims,500,4,991.643,0,0,0,0,0,0,0,250000,249549,249549,99.8196,ok
BBMSCore,830,0,1008.2,74808728,0,74808728,0,0,0,0,0,0,688900,100,ok
BBMSInter,830,0,1008.2,863014,10257822,11120836,1376061,0,0,0,0,0,688900,100,ok
BBMSDppInstant,830,0,1008.2,863014,3459064,4322078,1376061,279995,962267,279995,0,0,688900,100,ok
BBMSDppStepwise,830,0,1008.2,863014,3459064,4322078,1376061,279995,795286,650910,0,0,688900,100,ok
DijkstraPrims,830,0,1008.2,0,0,0,0,0,0,0,688900,688824,688824,99.989,ok
BBMSCore,830,1,1004.89,76518474,0,76518474,0,0,0,0,0,0,688900,100,ok
BBMSInter,830,1,1004.89,857234,10629419,11486653,1375925,0,0,0,0,0,688900,100,ok
BBMSDppInstant,830,1,1004.89,857234,3466356,4323590,1375925,283109,957894,283109,0,0,688900,100,ok
BBMSDppStepwise,830,1,1004.89,857234,3466356,4323590,1375925,283109,794659,649680,0,0,688900,100,ok
DijkstraPrims,830,1,1004.89,0,0,0,0,0,0,0,688900,688695,688695,99.9702,ok
BBMSCore,830,2,999.95,63623972,0,63623972,0,0,0,0,0,0,688900,100,ok
BBMSInter,830,2,999.95,858742,9797114,10655856,1375792,0,0,0,0,0,688900,100,ok
BBMSDppInstant,830,2,999.95,858742,3463215,4321957,1375792,282256,978330,282256,0,0,688900,100,ok
BBMSDppStepwise,830,2,999.95,858742,3463215,4321957,1375792,282256,798036,657087,0,0,688900,100,ok
DijkstraPrims,830,2,999.95,0,0,0,0,0,0,0,688900,688500,688500,99.9419,ok
BBMSCore,830,3,998.456,70555634,0,70555634,0,0,0,0,0,0,688900,100,ok
BBMSInter,830,3,998.456,861432,10381253,11242685,1375996,0,0,0,0,0,688900,100,ok
BBMSDppInstant,830,3,998.456,861432,3460222,4321654,1375996,280849,968217,280849,0,0,688900,100,ok
BBMSDppStepwise,830,3,998.456,861432,3460222,4321654,1375996,280849,795220,652792,0,0,688900,100,ok
DijkstraPrims,830,3,998.456,0,0,0,0,0,0,0,688900,688441,688441,99.9334,ok
BBMSCore,830,4,1002.66,74531840,0,74531840,0,0,0,0,0,0,688900,100,ok
BBMSInter,830,4,1002.66,862692,10485481,11348173,1376016,0,0,0,0,0,688900,100,ok
BBMSDppInstant,830,4,1002.66,862692,3458511,4321203,1376016,279286,957782,279286,0,0,688900,100,ok
BBMSDppStepwise,830,4,1002.66,862692,3458511,4321203,1376016,279286,791417,649533,0,0,688900,100,ok
DijkstraPrims,830,4,1002.66,0,0,0,0,0,0,0,688900,688615,688615,99.9586,ok
BBMSCore,1400,0,1004.55,227809422,0,227809422,0,0,0,0,0,0,1960000,100,ok
BBMSInter,1400,0,1004.55,2447442,30478399,32925841,3916920,0,0,0,0,0,1960000,100,ok
BBMSDppInstant,1400,0,1004.55,2447442,9863543,12310985,3916920,803636,2873962,803636,0,0,1960000,100,ok
BBMSDppStepwise,1400,0,1004.55,2447442,9863543,12310985,3916920,803636,2295013,1889813,0,0,1960000,100,ok
DijkstraPrims,1400,0,1004.55,0,0,0,0,0,0,0,1960000,1959630,1959630,99.9811,ok
BBMSCore,1400,1,996.389,242953454,0,242953454,0,0,0,0,0,0,1960000,100,ok
BBMSInter,1400,1,996.389,2446822,35450178,37897000,3916652,0,0,0,0,0,1960000,100,ok
