algorithm,N,sample,runtime_s,frechet_dist,maxrss_before_mb,maxrss_after_mb,minor_faults,major_faults,block_input_ops,block_output_ops,voluntary_ctx_switches,involuntary_ctx_switches,user_time_s,sys_time_s,blocked_time_s,status,repeat
DijkstraPrims,1400,0,0.557217,1004.55,6.76953,92.2539,30255,0,0,0,0,3,0.557197,0,1.9583e-05,ok,0
BBMSCore,1400,0,0.863475,1004.55,6.76953,48.5117,11510,0,0,0,0,4,0.853502,0.009956,1.6786e-05,ok,1
BBMSInter,1400,0,0.26548,1004.55,6.76953,108.359,26822,0,0,0,0,1,0.225748,0.03973,2.442e-06,ok,1
BBMSDppInstant,1400,0,0.604058,1004.55,6.76953,437.762,111587,0,0,0,0,2,0.504584,0.099469,4.708e-06,ok,1
BBMSDppStepwise,1400,0,0.635958,1004.55,6.76953,421.621,107457,0,0,0,0,3,0.526174,0.109772,1.2164e-05,ok,1
DijkstraPrims,1400,0,0.568679,1004.55,6.77344,92.2227,30255,0,0,0,0,1,0.508541,0.060145,-7.384e-06,ok,1
BBMSCore,1400,0,0.865121,1004.55,6.77344,48.4922,11510,0,0,0,0,3,0.83518,0.029924,1.7431e-05,ok,2
BBMSInter,1400,0,0.268802,1004.55,6.77344,108.355,26822,0,0,0,0,4,0.228555,0.040219,2.7701e-05,ok,2
BBMSDppInstant,1400,0,0.606519,1004.55,6.77734,437.773,111587,0,0,0,0,3,0.496637,0.109854,2.8015e-05,ok,2
BBMSDppStepwise,1400,0,0.63304,1004.55,6.77734,421.652,107457,0,0,0,0,3,0.464154,0.168872,1.4046e-05,ok,2
DijkstraPrims,1400,0,0.568149,1004.55,6.77734,92.2695,30255,0,0,0,0,3,0.527863,0.040043,0.000243009,ok,2
BBMSCore,1400,1,0.993301,996.389,6.78125,48.4766,11510,0,0,0,0,4,0.993262,0,3.8664e-05,ok,0
BBMSInter,1400,1,0.308549,996.389,6.78125,108.363,26822,0,0,0,0,3,0.278259,0.030257,3.2534e-05,ok,0
BBMSDppInstant,1400,1,0.60339,996.389,6.78125,437.594,111540,0,0,0,0,3,0.461636,0.141729,2.4746e-05,ok,0
BBMSDppStepwise,1400,1,0.63895,996.389,6.78125,421.695,107460,0,0,0,0,3,0.548499,0.090418,3.3446e-05,ok,0
DijkstraPrims,1400,1,0.548027,996.389,6.78125,91.9492,30175,0,0,0,0,3,0.517872,0.030115,3.9785e-05,ok,0
BBMSCore,1400,1,0.99665,996.389,6.78125,48.4922,11510,0,0,0,0,2,0.976608,0.020013,2.868e-05,ok,1
BBMSInter,1400,1,0.314564,996.389,6.78125,108.367,26822,0,0,0,0,3,0.29462,0.019911,3.3428e-05,ok,1
BBMSDppInstant,1400,1,0.605722,996.389,6.78125,437.582,111540,0,0,0,0,3,0.465734,0.139931,5.7381e-05,ok,1
BBMSDppStepwise,1400,1,0.637308,996.389,6.78125,421.664,107460,0,0,0,0,3,0.486973,0.150304,3.0659e-05,ok,1
DijkstraPrims,1400,1,0.556361,996.389,6.78125,91.9375,30175,0,0,0,0,1,0.526342,0.030025,-6.334e-06,ok,1
BBMSCore,1400,1,0.993847,996.389,6.78125,48.3672,11510,0,0,0,0,6,0.983841,0.009979,2.6713e-05,ok,2
BBMSInter,1400,1,0.310953,996.389,6.78125,108.367,26822,0,0,0,0,1,0.271556,0.039383,1.3897e-05,ok,2
BBMSDppInstant,1400,1,0.612373,996.389,6.78125,437.559,111540,0,0,0,0,1,0.481004,0.131377,-7.955e-06,ok,2
BBMSDppStepwise,1400,1,0.640785,996.389,6.78125,421.605,107460,0,0,0,0,3,0.501851,0.138878,5.6031e-05,ok,2
DijkstraPrims,1400,1,0.551418,996.389,6.78516,91.9453,30175,0,0,0,0,3,0.511719,0.039674,2.4901e-05,ok,2
BBMSCore,1400,2,1.03211,1006.33,6.78516,48.3672,11510,0,0,0,0,2,1.01186,0.020145,0.000105708,ok,0
BBMSInter,1400,2,0.30504,1006.33,6.78906,108.367,26822,0,0,0,0,1,0.26196,0.043079,6.82e-07,ok,0
BBMSDppInstant,1400,2,0.603241,1006.33,6.78906,437.504,111501,0,0,0,0,4,0.491611,0.111587,4.2796e-05,ok,0
BBMSDppStepwise,1400,2,0.646099,1006.33,6.78906,421.84,107524,0,0,0,0,1,0.48572,0.160383,-4.421e-06,ok,0
DijkstraPrims,1400,2,0.550959,1006.33,6.78906,91.8828,30181,0,0,0,0,3,0.531071,0.019869,1.8701e-05,ok,0
BBMSCore,1400,2,1.03699,1006.33,6.78906,48.3711,11510,0,0,0,0,3,1.01265,0.024203,0.000132376,ok,1
BBMSInter,1400,2,0.308714,1006.33,6.78906,108.367,26822,0,0,0,0,1,0.268186,0.040532,-4.167e-06,ok,1
BBMSDppInstant,1400,2,0.614736,1006.33,6.78906,437.402,111501,0,0,0,0,3,0.514685,0.100029,2.1686e-05,ok,1
BBMSDppStepwise,1400,2,0.646409,1006.33,6.78906,421.949,107524,0,0,0,0,4,0.45583,0.19052,5.9429e-05,ok,1
DijkstraPrims,1400,2,0.562587,1006.33,6.78906,91.8789,30181,0,0,0,0,1,0.522731,0.039861,-5.154e-06,ok,1
BBMSCore,1400,2,1.03937,1006.33,6.78906,48.4922,11510,0,0,0,0,1,1.01926,0.020092,2.3851e-05,ok,2
BBMSInter,1400,2,0.309719,1006.33,6.78906,108.375,26822,0,0,0,0,3,0.270311,0.039393,1.5258e-05,ok,2
BBMSDppInstant,1400,2,0.612982,1006.33,6.78906,437.508,111501,0,0,0,0,2,0.463268,0.149589,0.000125444,ok,2
BBMSDppStepwise,1400,2,0.640318,1006.33,6.78906,421.91,107524,0,0,0,0,2,0.531036,0.109279,2.954e-06,ok,2
DijkstraPrims,1400,2,0.568377,1006.33,6.78906,91.8672,30181,0,0,0,0,2,0.538173,0.030199,4.868e-06,ok,2
BBMSCore,1400,3,1.06815,998.387,6.79297,48.3672,11511,0,0,0,0,4,1.05808,0.010046,2.275e-05,ok,0
BBMSInter,1400,3,0.270346,998.387,6.79688,108.367,26823,0,0,0,0,1,0.227663,0.042671,1.222e-05,ok,0
BBMSDppInstant,1400,3,0.604305,998.387,6.80078,437.242,111439,0,0,0,0,0,0.454045,0.150276,-1.6464e-05,ok,0
